# E1 = 1 E2 = 1 E3 = 1 m = 0.05 Eps = 0.5
# Time    Y_1                 Y_2                 Y_3                 
1.215     0.258659            1.20029             2.59712             
1.22      0.257042            1.19656             2.5997              
1.225     0.255438            1.19283             2.60223             
1.23      0.253848            1.1891              2.60472             
1.235     0.252271            1.18537             2.60716             
1.24      0.250707            1.18164             2.60955             
1.245     0.249157            1.17791             2.6119              
1.25      0.24762             1.17418             2.6142              
1.255     0.246097            1.17046             2.61645             
1.26      0.244586            1.16673             2.61866             
1.265     0.243088            1.163               2.62082             
1.27      0.241603            1.15928             2.62293             
1.275     0.240131            1.15556             2.625               
1.28      0.238672            1.15183             2.62701             
1.285     0.237225            1.14811             2.62899             
1.29      0.235791            1.14439             2.63091             
1.295     0.23437             1.14068             2.63278             
1.3       0.232961            1.13696             2.63461             
1.305     0.231564            1.13325             2.63639             
1.31      0.230179            1.12954             2.63813             
1.315     0.228806            1.12583             2.63981             
1.32      0.227446            1.12212             2.64145             
1.325     0.226097            1.11842             2.64304             
1.33      0.224761            1.11472             2.64458             
1.335     0.223436            1.11102             2.64607             
1.34      0.222123            1.10733             2.64751             
1.345     0.220822            1.10363             2.64891             
1.35      0.219532            1.09994             2.65026             
1.355     0.218254            1.09626             2.65156             
1.36      0.216987            1.09258             2.65281             
1.365     0.215732            1.0889              2.65402             
1.37      0.214487            1.08522             2.65517             
1.375     0.213255            1.08155             2.65628             
1.38      0.212033            1.07788             2.65734             
1.385     0.210822            1.07422             2.65835             
1.39      0.209622            1.07056             2.65931             
1.395     0.208433            1.0669              2.66022             
1.4       0.207255            1.06325             2.66109             
1.405     0.206088            1.05961             2.66191             
1.41      0.204931            1.05596             2.66268             
1.415     0.203785            1.05232             2.6634              
1.42      0.20265             1.04869             2.66407             
1.425     0.201525            1.04506             2.66469             
1.43      0.20041             1.04144             2.66527             
1.435     0.199306            1.03782             2.6658              
1.44      0.198212            1.03421             2.66628             
1.445     0.197128            1.0306              2.66671             
1.45      0.196055            1.02699             2.6671              
1.455     0.194991            1.0234              2.66743             
1.46      0.193937            1.0198              2.66772             
1.465     0.192894            1.01622             2.66796             
1.47      0.19186             1.01263             2.66815             
1.475     0.190836            1.00906             2.6683              
1.48      0.189821            1.00549             2.66839             
1.485     0.188817            1.00192             2.66844             
1.49      0.187821            0.998364            2.66845             
1.495     0.186836            0.994811            2.6684              
1.5       0.18586             0.991264            2.66831             
1.505     0.184893            0.987723            2.66817             
1.51      0.183935            0.984188            2.66798             
1.515     0.182987            0.98066             2.66774             
1.52      0.182048            0.977138            2.66746             
1.525     0.181118            0.973622            2.66713             
1.53      0.180197            0.970113            2.66676             
1.535     0.179285            0.96661             2.66634             
1.54      0.178382            0.963114            2.66587             
1.545     0.177488            0.959625            2.66535             
1.55      0.176603            0.956142            2.66479             
1.555     0.175726            0.952666            2.66419             
1.56      0.174859            0.949197            2.66353             
1.565     0.174               0.945735            2.66283             
1.57      0.173149            0.94228             2.66209             
1.575     0.172307            0.938832            2.6613              
1.58      0.171473            0.935391            2.66046             
1.585     0.170648            0.931957            2.65958             
1.59      0.169831            0.92853             2.65865             
1.595     0.169023            0.925111            2.65768             
1.6       0.168223            0.921698            2.65666             
1.605     0.167431            0.918294            2.6556              
1.61      0.166647            0.914896            2.65449             
1.615     0.165871            0.911506            2.65334             
1.62      0.165103            0.908124            2.65214             
1.625     0.164343            0.904749            2.6509              
1.63      0.163591            0.901382            2.64962             
1.635     0.162847            0.898022            2.64829             
1.64      0.16211             0.894671            2.64692             
1.645     0.161382            0.891327            2.6455              
1.65      0.160661            0.88799             2.64404             
1.655     0.159947            0.884662            2.64254             
1.66      0.159242            0.881341            2.64099             
1.665     0.158544            0.878029            2.63941             
1.67      0.157853            0.874724            2.63777             
1.675     0.15717             0.871427            2.6361              
1.68      0.156494            0.868139            2.63439             
1.685     0.155825            0.864858            2.63263             
1.69      0.155164            0.861586            2.63083             
1.695     0.15451             0.858322            2.62899             
1.7       0.153863            0.855066            2.6271              
1.705     0.153224            0.851818            2.62518             
1.71      0.152591            0.848578            2.62321             
1.715     0.151966            0.845347            2.62121             
1.72      0.151347            0.842124            2.61916             
1.725     0.150736            0.838909            2.61707             
1.73      0.150131            0.835703            2.61494             
1.735     0.149534            0.832505            2.61278             
1.74      0.148943            0.829316            2.61057             
1.745     0.148359            0.826135            2.60832             
1.75      0.147781            0.822963            2.60603             
1.755     0.147211            0.819799            2.60371             
1.76      0.146647            0.816644            2.60134             
1.765     0.14609             0.813497            2.59894             
1.77      0.145539            0.810359            2.59649             
1.775     0.144995            0.80723             2.59401             
1.78      0.144457            0.804109            2.59149             
1.785     0.143925            0.800997            2.58894             
1.79      0.143401            0.797893            2.58634             
1.795     0.142882            0.794799            2.58371             
1.8       0.14237             0.791713            2.58104             
1.805     0.141864            0.788635            2.57833             
1.81      0.141364            0.785567            2.57559             
1.815     0.140871            0.782507            2.57281             
1.82      0.140383            0.779457            2.56999             
1.825     0.139902            0.776415            2.56714             
1.83      0.139427            0.773381            2.56425             
1.835     0.138958            0.770357            2.56133             
1.84      0.138495            0.767342            2.55837             
1.845     0.138038            0.764335            2.55538             
1.85      0.137587            0.761338            2.55235             
1.855     0.137142            0.758349            2.54929             
1.86      0.136703            0.755369            2.54619             
1.865     0.13627             0.752399            2.54306             
1.87      0.135842            0.749437            2.53989             
1.875     0.13542             0.746484            2.5367              
1.88      0.135004            0.74354             2.53346             
1.885     0.134594            0.740605            2.5302              
1.89      0.13419             0.737679            2.5269              
1.895     0.133791            0.734762            2.52357             
1.9       0.133397            0.731855            2.52021             
1.905     0.13301             0.728956            2.51681             
1.91      0.132628            0.726066            2.51338             
1.915     0.132251            0.723185            2.50993             
1.92      0.13188             0.720314            2.50644             
1.925     0.131514            0.717451            2.50292             
1.93      0.131154            0.714597            2.49937             
1.935     0.130799            0.711753            2.49578             
1.94      0.13045             0.708917            2.49217             
1.945     0.130106            0.706091            2.48853             
1.95      0.129767            0.703274            2.48486             
1.955     0.129434            0.700466            2.48116             
1.96      0.129106            0.697666            2.47743             
1.965     0.128783            0.694876            2.47367             
1.97      0.128465            0.692095            2.46988             
1.975     0.128153            0.689323            2.46606             
1.98      0.127846            0.686561            2.46222             
1.985     0.127543            0.683807            2.45834             
1.99      0.127247            0.681062            2.45444             
1.995     0.126955            0.678327            2.45052             
2         0.126668            0.6756              2.44656             
2.005     0.126386            0.672883            2.44258             
2.01      0.126109            0.670175            2.43857             
2.015     0.125838            0.667476            2.43454             
2.02      0.125571            0.664785            2.43048             
2.025     0.125309            0.662104            2.42639             
2.03      0.125052            0.659432            2.42228             
2.035     0.124801            0.65677             2.41814             
2.04      0.124554            0.654116            2.41398             
2.045     0.124312            0.651471            2.40979             
2.05      0.124074            0.648835            2.40558             
2.055     0.123842            0.646209            2.40134             
2.06      0.123614            0.643591            2.39708             
2.065     0.123392            0.640983            2.3928              
2.07      0.123174            0.638383            2.38849             
2.075     0.12296             0.635793            2.38416             
2.08      0.122752            0.633211            2.37981             
2.085     0.122548            0.630639            2.37543             
2.09      0.122349            0.628075            2.37104             
2.095     0.122155            0.625521            2.36662             
2.1       0.121965            0.622975            2.36217             
2.105     0.12178             0.620439            2.35771             
2.11      0.1216              0.617912            2.35322             
2.115     0.121424            0.615393            2.34872             
2.12      0.121253            0.612884            2.34419             
2.125     0.121087            0.610383            2.33964             
2.13      0.120925            0.607891            2.33508             
2.135     0.120768            0.605409            2.33049             
2.14      0.120615            0.602935            2.32588             
2.145     0.120467            0.60047             2.32125             
2.15      0.120323            0.598014            2.31661             
2.155     0.120184            0.595567            2.31194             
2.16      0.12005             0.593129            2.30726             
2.165     0.11992             0.5907              2.30255             
2.17      0.119794            0.588279            2.29783             
2.175     0.119673            0.585868            2.29309             
2.18      0.119556            0.583465            2.28833             
2.185     0.119444            0.581071            2.28356             
2.19      0.119336            0.578686            2.27877             
2.195     0.119233            0.57631             2.27396             
2.2       0.119134            0.573942            2.26913             
2.205     0.11904             0.571583            2.26429             
2.21      0.11895             0.569233            2.25943             
2.215     0.118864            0.566892            2.25456             
2.22      0.118783            0.56456             2.24967             
2.225     0.118706            0.562236            2.24476             
2.23      0.118634            0.559921            2.23984             
2.235     0.118566            0.557614            2.23491             
2.24      0.118502            0.555317            2.22996             
2.245     0.118443            0.553028            2.22499             
2.25      0.118388            0.550747            2.22001             
2.255     0.118337            0.548476            2.21502             
2.26      0.118291            0.546212            2.21001             
2.265     0.118249            0.543958            2.20499             
2.27      0.118212            0.541712            2.19995             
2.275     0.118178            0.539475            2.19491             
2.28      0.11815             0.537246            2.18985             
2.285     0.118125            0.535026            2.18477             
2.29      0.118105            0.532814            2.17969             
2.295     0.118089            0.530611            2.17459             
2.3       0.118077            0.528416            2.16948             
2.305     0.11807             0.52623             2.16436             
2.31      0.118067            0.524052            2.15923             
2.315     0.118068            0.521882            2.15408             
2.32      0.118074            0.519722            2.14893             
2.325     0.118084            0.517569            2.14376             
2.33      0.118098            0.515425            2.13858             
2.335     0.118117            0.513289            2.1334              
2.34      0.11814             0.511162            2.1282              
2.345     0.118167            0.509043            2.12299             
2.35      0.118199            0.506932            2.11778             
2.355     0.118235            0.504829            2.11255             
2.36      0.118275            0.502735            2.10732             
2.365     0.118319            0.500649            2.10207             
2.37      0.118368            0.498572            2.09682             
2.375     0.118422            0.496502            2.09156             
2.38      0.118479            0.494441            2.08629             
2.385     0.118541            0.492388            2.08101             
2.39      0.118607            0.490344            2.07573             
2.395     0.118678            0.488307            2.07043             
2.4       0.118753            0.486278            2.06513             
2.405     0.118832            0.484258            2.05982             
2.41      0.118916            0.482246            2.05451             
2.415     0.119004            0.480242            2.04919             
2.42      0.119096            0.478246            2.04386             
2.425     0.119193            0.476257            2.03852             
2.43      0.119294            0.474277            2.03318             
2.435     0.119399            0.472305            2.02783             
2.44      0.119509            0.470341            2.02248             
2.445     0.119624            0.468385            2.01712             
2.45      0.119742            0.466437            2.01176             
2.455     0.119866            0.464497            2.00639             
2.46      0.119993            0.462565            2.00101             
2.465     0.120125            0.46064             1.99563             
2.47      0.120262            0.458724            1.99025             
2.475     0.120403            0.456815            1.98486             
2.48      0.120548            0.454914            1.97947             
2.485     0.120698            0.453021            1.97407             
2.49      0.120853            0.451136            1.96867             
2.495     0.121012            0.449259            1.96327             
2.5       0.121175            0.447389            1.95786             
2.505     0.121343            0.445527            1.95245             
2.51      0.121516            0.443673            1.94703             
2.515     0.121693            0.441826            1.94162             
2.52      0.121875            0.439988            1.9362              
2.525     0.122061            0.438156            1.93077             
2.53      0.122252            0.436333            1.92535             
2.535     0.122447            0.434517            1.91992             
2.54      0.122647            0.432708            1.91449             
2.545     0.122852            0.430908            1.90906             
2.55      0.123062            0.429114            1.90363             
2.555     0.123276            0.427329            1.89819             
2.56      0.123495            0.425551            1.89276             
2.565     0.123718            0.42378             1.88732             
2.57      0.123946            0.422017            1.88188             
2.575     0.124179            0.420261            1.87644             
2.58      0.124417            0.418513            1.871               
2.585     0.12466             0.416772            1.86556             
2.59      0.124907            0.415038            1.86012             
2.595     0.125159            0.413312            1.85468             
2.6       0.125416            0.411593            1.84924             
2.605     0.125678            0.409882            1.8438              
2.61      0.125945            0.408177            1.83836             
2.615     0.126217            0.40648             1.83292             
2.62      0.126493            0.404791            1.82748             
2.625     0.126775            0.403108            1.82204             
2.63      0.127061            0.401433            1.81661             
2.635     0.127353            0.399765            1.81117             
2.64      0.127649            0.398105            1.80573             
2.645     0.127951            0.396451            1.8003              
2.65      0.128258            0.394804            1.79487             
2.655     0.128569            0.393165            1.78944             
2.66      0.128886            0.391533            1.78401             
2.665     0.129208            0.389908            1.77858             
2.67      0.129535            0.38829             1.77316             
2.675     0.129867            0.386679            1.76774             
2.68      0.130205            0.385074            1.76232             
2.685     0.130547            0.383477            1.7569              
2.69      0.130895            0.381887            1.75149             
2.695     0.131249            0.380304            1.74607             
2.7       0.131607            0.378728            1.74067             
2.705     0.131971            0.377159            1.73526             
2.71      0.132341            0.375596            1.72986             
2.715     0.132715            0.374041            1.72446             
2.72      0.133095            0.372492            1.71906             
2.725     0.133481            0.370951            1.71367             
2.73      0.133872            0.369416            1.70828             
2.735     0.134269            0.367887            1.7029              
2.74      0.134671            0.366366            1.69752             
2.745     0.135079            0.364851            1.69214             
2.75      0.135492            0.363343            1.68677             
2.755     0.135911            0.361842            1.6814              
2.76      0.136336            0.360348            1.67604             
2.765     0.136767            0.35886             1.67068             
2.77      0.137203            0.357379            1.66533             
2.775     0.137645            0.355904            1.65998             
2.78      0.138093            0.354436            1.65464             
2.785     0.138546            0.352975            1.6493              
2.79      0.139006            0.35152             1.64397             
2.795     0.139471            0.350072            1.63864             
2.8       0.139943            0.34863             1.63332             
2.805     0.14042             0.347195            1.628               
